features,coefficients
raspberry,0.2702992386371047
Company_(Manufacturer)_Fruition,0.25337746858339044
complex,0.22217958884851738
long,0.21377486883488944
balanced,0.20889936919434943
distinct,0.20672346733151617
Company_(Manufacturer)_Benoit Nihant,0.20434939190036977
fig,0.20100366211017573
Company_(Manufacturer)_Idilio (Felchlin),0.20072006336644801
Company_(Manufacturer)_Soma,0.20024916754967648
pungent,-0.24595842965971706
pastey,-0.25971737664561745
burnt,-0.26067141944432093
this,-0.2837441650709271
Company_(Manufacturer)_Cote d' Or (Kraft),-0.2837441650709271
bitter,-0.2922228212912859
off,-0.29732837628834596
very,-0.3649971510386773
chemical,-0.3692678723251745
medicinal,-0.37550494402324386
